"Continent","Chrome","IE","Firefox","Yandex Browser","Safari","Android","Edge","Opera","Sogou Explorer","QQ Browser","Maxthon","UC Browser","Coc Coc","360 Safe Browser","Chromium","Amigo","Silk","SeaMonkey","Iron","Phantom","Pale Moon"
Costa Rica ,57.72,10.64,17.21,0,8.88,1.32,1.01,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,66.08,9.91,13.05,0,5.36,1.58,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,56.81,14.19,14.13,0,10.1,1.68,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,47.01,6.01,14.46,3.6,2.96,1.32,0,22.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,47.7,18.33,9.93,0,18.7,1.2,1.13,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,53.94,9.86,24.42,0,5.2,0,0,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,48.19,18.11,12.34,0,13.98,2.32,2.46,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,69,4.7,13.19,1.91,2.3,0,0,5.29,0,0,0,0,0,0,0,1.61,0,0,0,0,0
Nigeria ,34.3,8.99,33.98,0,5.79,2.94,0,11.98,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,54.54,13.4,26.36,0,2.54,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,52.38,7.6,12.64,4.55,4.11,1.53,0,11.12,0,0,0,0,0,0,0,4.41,0,0,0,0,0
Palestinian Territory ,52.05,5.4,17.73,0,1.84,0,0,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,59.87,15.44,11.04,0,9.32,1.05,1.24,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,53.38,13.16,20.63,0,6.26,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,37.08,5.76,39.73,0,3.84,0,0,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,55.03,21.1,10.85,0,5.74,3.71,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,59.56,13.03,12.09,0,7.89,2.45,1.71,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,67.74,8.08,18.89,0,2.31,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,62.82,9.99,13.44,0,5.73,2.4,1.71,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,56.19,15.21,18.33,0,4.7,1.61,0,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,62.46,2.54,23.11,2.28,2.81,0,0,3.61,0,0,0,0,0,0,0,1.54,0,0,0,0,0
Lebanon ,52.47,13.67,17.21,0,12.15,2.17,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,63.82,9.64,14.41,0,6.14,1.48,0,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,58.49,11.58,14.64,0,10.21,2,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,62.11,4.74,23.73,0,3.31,1.33,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,62.71,8.97,19.83,0,3.55,1.07,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,48.73,24.01,10.89,0,9.75,1.99,1.15,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,52.92,12.99,13.93,0,13.72,0,1.28,1.06,0,0,0,0,0,2.55,0,0,0,0,0,0,0
Cambodia ,43.12,6.53,31.56,0,13.43,1.33,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,35.76,9.38,38.58,0,4.44,1.93,0,7.18,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,24.66,3.14,59.36,0,5.43,4.14,0,1.06,0,0,1.28,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,47.7,5.81,40.44,0,1.73,2.05,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,59.7,3.89,27.04,0,5.42,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,51.6,5.87,32.73,0,2.68,1.73,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0
